Bowler,Runs Given,Wicket,overs,Economy,Average,Type
Jasprit Bumrah,14,3,4,3.5,16.8,Pacer
Jasprit Bumrah,36,0,4,9,16.8,Pacer
Jasprit Bumrah,26,0,4,6.5,16.8,Pacer
Jasprit Bumrah,22,2,4,5.5,16.8,Pacer
Jasprit Bumrah,21,5,4,5.25,16.8,Pacer
Jasprit Bumrah,27,0,4,6.75,16.8,Pacer
Jasprit Bumrah,21,3,4,5.25,16.8,Pacer
Jasprit Bumrah,37,0,4,9.25,16.8,Pacer
Jasprit Bumrah,35,1,4,8.75,16.8,Pacer
Jasprit Bumrah,17,0,4,4.25,16.8,Pacer
Jasprit Bumrah,18,3,4,4.5,16.8,Pacer
Jasprit Bumrah,23,1,4,5.75,16.8,Pacer
Jasprit Bumrah,39,2,4,9.75,16.8,Pacer
Arshdeep Singh,28,2,4,7,26.57,Pacer
Arshdeep Singh,40,0,3.2,12.5,26.57,Pacer
Arshdeep Singh,30,2,3,10,26.57,Pacer
Arshdeep Singh,33,0,4,8.25,26.57,Pacer
Arshdeep Singh,29,4,4,7.25,26.57,Pacer
Arshdeep Singh,45,1,3.5,12.86,26.57,Pacer
Arshdeep Singh,35,0,3,11.67,26.57,Pacer
Arshdeep Singh,17,1,2.1,8.1,26.57,Pacer
Arshdeep Singh,45,2,4,11.25,26.57,Pacer
Arshdeep Singh,52,1,4,13,26.57,Pacer
Arshdeep Singh,42,2,4,10.5,26.57,Pacer
Arshdeep Singh,41,1,3,13.67,26.57,Pacer
Arshdeep Singh,31,1,4,7.75,26.57,Pacer
Arshdeep Singh,37,2,4,9.25,26.57,Pacer
Mohammed Siraj,38,0,4,9.5,33.06,Pacer
Mohammed Siraj,26,2,4,6.5,33.06,Pacer
Mohammed Siraj,46,0,3,15.33,33.06,Pacer
Mohammed Siraj,47,1,4,11.75,33.06,Pacer
Mohammed Siraj,35,1,4,8.75,33.06,Pacer
Mohammed Siraj,37,0,3,12.33,33.06,Pacer
Mohammed Siraj,40,1,4,10,33.06,Pacer
Mohammed Siraj,20,0,4,5,33.06,Pacer
Mohammed Siraj,34,1,4,8.5,33.06,Pacer
Mohammed Siraj,29,2,4,7.25,33.06,Pacer
Mohammed Siraj,43,3,4,10.75,33.06,Pacer
Mohammed Siraj,33,1,4,8.25,33.06,Pacer
Mohammed Siraj,35,1,4,8.75,33.06,Pacer
Mohammed Siraj,33,2,4,8.25,33.06,Pacer
Kuldeep Yadav,20,2,4,5,23.25,Spinner
Kuldeep Yadav,41,1,4,10.25,23.25,Spinner
Kuldeep Yadav,20,3,4,5,23.25,Spinner
Kuldeep Yadav,16,0,4,4,23.25,Spinner
Kuldeep Yadav,55,4,4,13.75,23.25,Spinner
Kuldeep Yadav,29,2,4,7.25,23.25,Spinner
Kuldeep Yadav,47,0,3,15.67,23.25,Spinner
Kuldeep Yadav,34,0,4,8.5,23.25,Spinner
Kuldeep Yadav,25,2,4,6.25,23.25,Spinner
Kuldeep Yadav,52,1,4,13,23.25,Spinner
Kuldeep Yadav,33,1,4,8.25,23.25,Spinner
Yuzvendra Chahal,25,1,3,8.33,30.33,Spinner
Yuzvendra Chahal,19,2,3,6.33,30.33,Spinner
Yuzvendra Chahal,11,3,4,2.75,30.33,Spinner
Yuzvendra Chahal,34,2,4,8.5,30.33,Spinner
Yuzvendra Chahal,43,2,4,10.75,30.33,Spinner
Yuzvendra Chahal,31,1,4,7.75,30.33,Spinner
Yuzvendra Chahal,54,1,4,13.5,30.33,Spinner
Yuzvendra Chahal,48,1,4,12,30.33,Spinner
Yuzvendra Chahal,41,0,4,10.25,30.33,Spinner
Yuzvendra Chahal,62,0,4,15.5,30.33,Spinner
Yuzvendra Chahal,48,1,4,12,30.33,Spinner
Yuzvendra Chahal,22,1,4,5.5,30.33,Spinner
Yuzvendra Chahal,31,2,4,7.75,30.33,Spinner
Yuzvendra Chahal,43,1,4,10.75,30.33,Spinner
Yuzvendra Chahal,34,0,4,8.5,30.33,Spinner
Hardik Pandya,30,0,3,10,35.18,All_rounder
Hardik Pandya,46,1,4,11.5,35.18,All_rounder
Hardik Pandya,13,0,1,13,35.18,All_rounder
Hardik Pandya,43,2,3,14.33,35.18,All_rounder
Hardik Pandya,33,1,4,8.25,35.18,All_rounder
Hardik Pandya,21,0,2,10.5,35.18,All_rounder
Hardik Pandya,41,0,2,20.5,35.18,All_rounder
Hardik Pandya,26,2,4,6.5,35.18,All_rounder
Hardik Pandya,44,2,4,11,35.18,All_rounder
Hardik Pandya,31,3,4,7.75,35.18,All_rounder
Hardik Pandya,32,0,3,10.67,35.18,All_rounder
Hardik Pandya,27,0,2,13.5,35.18,All_rounder
Shivam Dube,14,1,1,14,14,All_rounder
Ravindra Jadeja,21,0,4,5.25,46.12,All_rounder
Ravindra Jadeja,15,0,2,7.5,46.12,All_rounder
Ravindra Jadeja,43,1,4,10.75,46.12,All_rounder
Ravindra Jadeja,30,0,4,7.5,46.12,All_rounder
Ravindra Jadeja,18,3,4,4.5,46.12,All_rounder
Ravindra Jadeja,37,0,4,9.25,46.12,All_rounder
Ravindra Jadeja,32,0,3,10.67,46.12,All_rounder
Ravindra Jadeja,16,0,4,4,46.12,All_rounder
Ravindra Jadeja,22,1,4,5.5,46.12,All_rounder
Ravindra Jadeja,22,0,3,7.33,46.12,All_rounder
Ravindra Jadeja,20,3,4,5,46.12,All_rounder
Ravindra Jadeja,29,0,2,14.5,46.12,All_rounder
Ravindra Jadeja,24,0,4,6,46.12,All_rounder
Ravindra Jadeja,40,0,3,13.33,46.12,All_rounder
Axar Patel,25,0,4,6.25,30.63,All_rounder
Axar Patel,21,1,4,5.25,30.63,All_rounder
Axar Patel,20,1,3,6.67,30.63,All_rounder
Axar Patel,18,0,1,18,30.63,All_rounder
Axar Patel,35,2,4,8.75,30.63,All_rounder
Axar Patel,26,0,4,6.5,30.63,All_rounder
Axar Patel,17,1,4,4.25,30.63,All_rounder
Axar Patel,29,1,4,7.25,30.63,All_rounder
Axar Patel,28,1,3,9.33,30.63,All_rounder
Axar Patel,24,0,2,12,30.63,All_rounder
Axar Patel,25,2,4,6.25,30.63,All_rounder
Axar Patel,25,1,3,8.33,30.63,All_rounder
Axar Patel,24,0,3,8,30.63,All_rounder
Axar Patel,20,1,1,20,30.63,All_rounder
